RANK_BALANCED,LGA_CODE,LGA_NAME,STATE,SCORE_BALANCED,OPPORTUNITY_TIER,STRATEGIC_SEGMENT,SCORE_MARKET_SIZE,SCORE_YOUTH_INTENSITY,SCORE_GROWTH_MOMENTUM,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,TOTAL_POP_2025,ROBUSTNESS_LABEL,SUGGESTED_RESPONSE
11,14900,Liverpool,New South Wales,93.0593607305936,Tier 1 — Very High,Balanced High-Opportunity Market,96.43835616438356,90.41095890410958,92.32876712328768,36975.0,14.479161363841058,3100.0,9.15129151291513,261231.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
12,11500,Campbelltown (NSW),New South Wales,92.87671232876711,Tier 1 — Very High,Balanced High-Opportunity Market,93.15068493150685,91.23287671232877,94.24657534246575,27490.0,14.580073722453527,2868.0,11.648119567866136,191285.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
13,27070,Whittlesea,Victoria,92.28310502283104,Tier 1 — Very High,Mixed / Moderate Opportunity,95.8904109589041,84.93150684931507,96.02739726027397,35187.0,13.938868157725857,4315.0,13.977066597564136,259759.0,Robust Top-20,Selective investigation; prioritise based on local context and strategic fit.
14,58050,Swan,Western Australia,91.91780821917808,Tier 1 — Very High,Balanced High-Opportunity Market,92.05479452054794,86.3013698630137,97.39726027397259,25315.0,14.0720193889803,3998.0,18.754984284843083,187090.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
15,58760,Wanneroo,Western Australia,91.87214611872146,Tier 1 — Very High,Balanced High-Opportunity Market,95.61643835616438,89.04109589041096,90.95890410958904,34092.0,14.287390619237602,2706.0,8.621678455362265,246147.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
16,45680,Playford,South Australia,91.55251141552512,Tier 1 — Very High,Mixed / Moderate Opportunity,84.10958904109589,95.34246575342465,95.2054794520548,16891.0,15.157987310760726,2368.0,16.305171107897817,115790.0,Robust Top-20,Selective investigation; prioritise based on local context and strategic fit.
17,21450,Cardinia,Victoria,91.5068493150685,Tier 1 — Very High,Balanced High-Opportunity Market,87.3972602739726,91.78082191780823,95.34246575342465,19236.0,14.786572476189743,2541.0,15.220125786163521,133472.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
18,57490,Rockingham,Western Australia,88.7214611872146,Tier 2 — High,Balanced High-Opportunity Market,90.13698630136986,87.94520547945206,88.08219178082192,22009.0,14.203386767856681,1499.0,7.308629936616285,159934.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
19,53780,Gosnells,Western Australia,87.67123287671234,Tier 2 — High,Mixed / Moderate Opportunity,88.21917808219179,82.46575342465754,92.32876712328768,19569.0,13.802856639040733,1890.0,10.690649923638215,144475.0,Near Top-20,Selective investigation; prioritise based on local context and strategic fit.
20,15050,Maitland,New South Wales,86.98630136986301,Tier 2 — High,Mixed / Moderate Opportunity,80.82191780821918,87.67123287671232,92.46575342465754,13946.0,14.197003013274697,1481.0,11.881267549137585,100439.0,Near Top-20,Selective investigation; prioritise based on local context and strategic fit.
21,57700,Serpentine-Jarrahdale,Western Australia,86.48401826484019,Tier 2 — High,Emerging Young Growth Market,65.20547945205479,99.17808219178083,95.06849315068493,6343.0,16.35088804681257,1351.0,27.063301282051285,40531.0,,Early intervention market; build delivery capacity before growth outpaces supply.
22,35010,Moreton Bay,Queensland,85.66210045662099,Tier 2 — High,Mixed / Moderate Opportunity,99.45205479452055,75.06849315068493,82.46575342465754,68488.0,13.13303700521962,1704.0,2.5515093435553426,532445.0,,Selective investigation; prioritise based on local context and strategic fit.
23,16350,Penrith,New South Wales,85.4337899543379,Tier 2 — High,Mixed / Moderate Opportunity,94.24657534246576,78.35616438356165,83.69863013698631,30853.0,13.476574443735858,1226.0,4.138117257906639,231701.0,,Selective investigation; prioritise based on local context and strategic fit.
24,24850,Mitchell,Victoria,84.42922374429223,Tier 2 — High,Emerging Young Growth Market,69.31506849315069,88.4931506849315,95.4794520547945,7980.0,14.229925640614132,1620.0,25.471698113207548,58459.0,,Early intervention market; build delivery capacity before growth outpaces supply.
25,54830,Kwinana,Western Australia,83.37899543378995,Tier 2 — High,Emerging Young Growth Market,68.76712328767123,86.57534246575342,94.79452054794521,7742.0,14.100462608822351,1410.0,22.267845862286798,57422.0,,Early intervention market; build delivery capacity before growth outpaces supply.
26,18400,Wollondilly,New South Wales,83.33333333333334,Tier 2 — High,Emerging Young Growth Market,71.5068493150685,90.68493150684932,87.8082191780822,8694.0,14.54843621881223,724.0,9.084065244667503,62080.0,,Early intervention market; build delivery capacity before growth outpaces supply.
27,36720,Sunshine Coast,Queensland,81.9634703196347,Tier 2 — High,Large Growth Market,97.53424657534246,57.26027397260274,91.0958904109589,45613.0,12.186279381669152,3479.0,8.256989604594864,381957.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
28,54170,Joondalup,Western Australia,81.82648401826484,Tier 2 — High,Large Growth Market,90.95890410958904,72.6027397260274,81.91780821917808,22622.0,12.989652835995727,839.0,3.851627415874765,176595.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
29,14650,Lake Macquarie,New South Wales,81.59817351598173,Tier 2 — High,Large Growth Market,93.42465753424658,64.38356164383562,86.98630136986301,27828.0,12.527009507346587,1535.0,5.838055756284943,224540.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
30,33360,Gladstone,Queensland,81.55251141552512,Tier 2 — High,Emerging Young Growth Market,74.79452054794521,92.32876712328768,77.53424657534246,10076.0,14.828768635300005,320.0,3.2800328003280033,69046.0,,Early intervention market; build delivery capacity before growth outpaces supply.
31,72800,Palmerston,Northern Territory,81.55251141552512,Tier 2 — High,Emerging Young Growth Market,66.02739726027397,96.43835616438356,82.1917808219178,6506.0,15.268357935744293,351.0,5.70268074735987,43193.0,,Early intervention market; build delivery capacity before growth outpaces supply.
32,20570,Ballarat,Victoria,80.50228310502283,Tier 2 — High,Large Growth Market,81.91780821917808,70.68493150684931,88.9041095890411,15456.0,12.820278867608389,1236.0,8.691983122362869,122661.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
33,11720,Cessnock,New South Wales,79.86301369863014,Tier 3 — Moderate-High,Emerging Young Growth Market,73.42465753424658,75.89041095890411,90.27397260273973,9172.0,13.210047240465492,886.0,10.692734733285059,71443.0,,Early intervention market; build delivery capacity before growth outpaces supply.
34,34770,Mackay,Queensland,79.49771689497717,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,84.65753424657534,77.8082191780822,76.02739726027397,17240.0,13.45413964522901,332.0,1.9635675419919567,129253.0,,Selective investigation; prioritise based on local context and strategic fit.
35,54310,Karratha,Western Australia,79.3607305936073,Tier 3 — Moderate-High,Emerging Young Growth Market,52.602739726027394,99.45205479452055,86.02739726027397,4075.0,16.379934078302114,344.0,9.22004824443849,25429.0,,Early intervention market; build delivery capacity before growth outpaces supply.
36,16490,Queanbeyan-Palerang,New South Wales,78.9041095890411,Tier 3 — Moderate-High,Rapid Growth Market,71.78082191780823,73.6986301369863,91.23287671232876,8709.0,13.074809710399496,904.0,11.582319026265214,67633.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
37,89399,Unincorporated ACT,Australian Capital Territory,78.81278538812785,Tier 3 — Moderate-High,Large Growth Market,98.35616438356163,49.589041095890416,88.49315068493149,56692.0,11.849591371778526,3092.0,5.76865671641791,484630.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
38,51820,Cockburn,Western Australia,78.58447488584476,Tier 3 — Moderate-High,Large Growth Market,83.83561643835617,58.35616438356165,93.56164383561645,16610.0,12.24113788783256,1819.0,12.29801906564803,139499.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
39,24130,Macedon Ranges,Victoria,78.08219178082192,Tier 3 — Moderate-High,Emerging Young Growth Market,68.21917808219177,86.02739726027397,80.0,7534.0,14.059904824111225,322.0,4.464780920687743,54464.0,,Early intervention market; build delivery capacity before growth outpaces supply.
40,16900,Shellharbour,New South Wales,77.89954337899543,Tier 3 — Moderate-High,Large Growth Market,76.16438356164383,70.95890410958904,86.57534246575344,10512.0,12.87146897843735,769.0,7.89284614595094,83228.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
41,22750,Greater Geelong,Victoria,77.35159817351598,Tier 3 — Moderate-High,Large Growth Market,95.34246575342465,46.02739726027397,90.68493150684932,33758.0,11.694079175269161,2624.0,8.428085051711955,295052.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
42,36370,Rockhampton,Queensland,76.80365296803653,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,77.26027397260275,82.73972602739727,70.41095890410959,11761.0,13.808852882470354,130.0,1.1177026910841716,85794.0,,Selective investigation; prioritise based on local context and strategic fit.
43,51330,Canning,Western Australia,76.80365296803652,Tier 3 — Moderate-High,Large Growth Market,79.72602739726027,60.273972602739725,90.41095890410958,13272.0,12.35754189944134,1204.0,9.976798143851507,109028.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
44,26490,Surf Coast,Victoria,76.57534246575342,Tier 3 — Moderate-High,Emerging Young Growth Market,60.273972602739725,78.08219178082192,91.36986301369862,5362.0,13.460862579705779,694.0,14.867180805484148,40265.0,,Early intervention market; build delivery capacity before growth outpaces supply.
45,12390,Dubbo,New South Wales,76.07305936073058,Tier 3 — Moderate-High,Emerging Young Growth Market,69.04109589041096,82.1917808219178,76.98630136986301,7868.0,13.791652789707094,252.0,3.308823529411765,57384.0,,Early intervention market; build delivery capacity before growth outpaces supply.
46,33430,Gold Coast,Queensland,75.6164383561644,Tier 3 — Moderate-High,Large Growth Market,99.72602739726028,43.28767123287671,83.83561643835617,78949.0,11.62235052687675,2511.0,3.2850153065229337,691230.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
47,22620,Greater Bendigo,Victoria,75.4337899543379,Tier 3 — Moderate-High,Large Growth Market,82.73972602739727,65.47945205479452,78.08219178082192,15725.0,12.550581437111411,388.0,2.529829823303123,126568.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
48,31000,Brisbane,Queensland,75.06849315068493,Tier 3 — Moderate-High,Large Growth Market,100.0,38.35616438356164,86.84931506849315,154379.0,11.40307141849425,5730.0,3.8547181615752546,1375301.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
49,10050,Albury,New South Wales,74.7945205479452,Tier 3 — Moderate-High,Rapid Growth Market,67.94520547945206,68.21917808219177,88.21917808219177,7461.0,12.695684726381703,661.0,9.720588235294118,59538.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
50,47140,Salisbury,South Australia,74.5662100456621,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,87.67123287671232,69.58904109589041,66.43835616438356,19253.0,12.781056446955263,99.0,0.5168633183669207,151019.0,,Selective investigation; prioritise based on local context and strategic fit.
51,44550,Mount Barker,South Australia,74.337899543379,Tier 3 — Moderate-High,Rapid Growth Market,61.64383561643836,71.5068493150685,89.86301369863014,5633.0,12.886916336848847,615.0,12.255878836189718,45111.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
52,22490,Golden Plains,Victoria,74.20091324200914,Tier 3 — Moderate-High,Young High-Intensity Market,52.054794520547944,95.61643835616438,74.93150684931507,3976.0,15.165732158523095,128.0,3.3264033264033266,26620.0,,Targeted junior engagement; validate demand and accessibility before scaling.
53,55320,Melville,Western Australia,74.10958904109589,Tier 3 — Moderate-High,Large Growth Market,80.54794520547945,55.06849315068493,86.7123287671233,13768.0,12.09076858226781,888.0,6.894409937888199,115945.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
54,14000,Hornsby,New South Wales,73.99543378995435,Tier 3 — Moderate-High,Large Established / Slower-Growth Market,89.31506849315069,80.0,52.67123287671233,21123.0,13.639533532214948,-31.0,-0.1465443887680817,155484.0,,"Focus on retention, conversion and utilisation rather than pure acquisition."
55,17750,Wagga Wagga,New South Wales,73.9269406392694,Tier 3 — Moderate-High,Young High-Intensity Market,73.6986301369863,76.98630136986301,71.0958904109589,9184.0,13.289728822388794,123.0,1.3574660633484164,69108.0,,Targeted junior engagement; validate demand and accessibility before scaling.
56,54200,Kalamunda,Western Australia,73.78995433789954,Tier 3 — Moderate-High,Rapid Growth Market,70.41095890410959,74.52054794520548,76.43835616438356,8402.0,13.11992504684572,250.0,3.0667320902845927,65007.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
57,57280,Port Hedland,Western Australia,73.72146118721462,Tier 3 — Moderate-High,Emerging Young Growth Market,40.54794520547945,94.79452054794521,85.82191780821918,2646.0,15.064905488499203,254.0,10.618729096989966,17743.0,,Early intervention market; build delivery capacity before growth outpaces supply.
58,53800,Greater Geraldton,Western Australia,73.4703196347032,Tier 3 — Moderate-High,Emerging Young Growth Market,62.465753424657535,80.82191780821918,77.12328767123287,5848.0,13.758381366898012,210.0,3.7247250798155376,42882.0,,Early intervention market; build delivery capacity before growth outpaces supply.
59,20830,Baw Baw,Victoria,72.73972602739725,Tier 3 — Moderate-High,Rapid Growth Market,68.4931506849315,62.73972602739726,86.98630136986301,7714.0,12.483614648908452,637.0,9.000989119683481,62784.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
60,25150,Moorabool,Victoria,72.23744292237443,Tier 3 — Moderate-High,Emerging Young Growth Market,59.178082191780824,77.26027397260275,80.27397260273972,5306.0,13.362210078319775,256.0,5.069306930693069,40472.0,,Early intervention market; build delivery capacity before growth outpaces supply.
61,50280,Augusta Margaret River,Western Australia,72.1917808219178,Tier 3 — Moderate-High,Emerging Young Growth Market,41.23287671232877,84.65753424657534,90.68493150684932,2710.0,13.905993431855501,390.0,16.810344827586206,20170.0,,Early intervention market; build delivery capacity before growth outpaces supply.
62,24210,Manningham,Victoria,71.91780821917807,Tier 3 — Moderate-High,Large Growth Market,82.1917808219178,48.76712328767123,84.79452054794521,15534.0,11.825247596355139,845.0,5.752603989379808,132912.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
63,16260,Parramatta,New South Wales,71.68949771689498,Tier 3 — Moderate-High,Large Growth Market,94.52054794520548,33.97260273972603,86.57534246575342,31046.0,11.272811776068787,1660.0,5.648948478867489,279014.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
64,54280,Kalgoorlie-Boulder,Western Australia,71.64383561643834,Tier 3 — Moderate-High,Young High-Intensity Market,55.342465753424655,90.13698630136986,69.45205479452054,4504.0,14.438211251803173,82.0,1.854364540931705,31268.0,,Targeted junior engagement; validate demand and accessibility before scaling.
65,11800,Coffs Harbour,New South Wales,71.50684931506848,Tier 3 — Moderate-High,Large Growth Market,75.89041095890411,63.287671232876704,75.34246575342465,10182.0,12.488807663530768,228.0,2.2905364677516573,82109.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
66,60410,Brighton,Tasmania,71.36986301369863,Tier 3 — Moderate-High,Emerging Young Growth Market,43.28767123287671,91.5068493150685,79.31506849315069,2988.0,14.701830348356623,164.0,5.807365439093484,20527.0,,Early intervention market; build delivery capacity before growth outpaces supply.
67,32270,Central Highlands (Qld),Queensland,71.36986301369862,Tier 3 — Moderate-High,Young High-Intensity Market,55.89041095890411,97.80821917808218,60.41095890410959,4551.0,15.53189310945019,18.0,0.3970880211780278,29481.0,,Targeted junior engagement; validate demand and accessibility before scaling.
68,27170,Wodonga,Victoria,71.0958904109589,Tier 3 — Moderate-High,Young High-Intensity Market,63.561643835616444,78.9041095890411,70.82191780821918,5983.0,13.535280410831843,103.0,1.751700680272109,44717.0,,Targeted junior engagement; validate demand and accessibility before scaling.
69,51260,Busselton,Western Australia,70.63926940639269,Tier 3 — Moderate-High,Rapid Growth Market,62.73972602739726,72.32876712328768,76.84931506849315,5863.0,12.974396423908473,205.0,3.6231884057971016,46184.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
70,53990,Harvey,Western Australia,70.25114155251141,Tier 3 — Moderate-High,Young High-Intensity Market,54.794520547945204,85.2054794520548,70.75342465753425,4426.0,14.000569386012085,89.0,2.052109753285681,32208.0,,Targeted junior engagement; validate demand and accessibility before scaling.
71,15270,Mid-Western,New South Wales,70.22831050228311,Tier 3 — Moderate-High,Emerging Young Growth Market,49.589041095890416,83.01369863013699,78.08219178082192,3638.0,13.832173681609063,165.0,4.750935790382954,26472.0,,Early intervention market; build delivery capacity before growth outpaces supply.
72,13550,Gunnedah,New South Wales,70.09132420091325,Tier 3 — Moderate-High,Emerging Young Growth Market,33.15068493150685,96.16438356164385,80.95890410958904,2041.0,15.215446548382285,142.0,7.477619799894682,13502.0,,Early intervention market; build delivery capacity before growth outpaces supply.
73,37010,Townsville,Queensland,70.09132420091323,Tier 3 — Moderate-High,Large Established / Slower-Growth Market,92.6027397260274,70.13698630136986,47.534246575342465,26143.0,12.816955268370167,-60.0,-0.22898141434186925,206260.0,,"Focus on retention, conversion and utilisation rather than pure acquisition."
74,14500,Ku-ring-gai,New South Wales,70.04566210045662,Tier 3 — Moderate-High,Large Established / Slower-Growth Market,86.3013698630137,90.95890410958904,32.87671232876712,18719.0,14.575368491540072,-179.0,-0.9471901788549052,128542.0,,"Focus on retention, conversion and utilisation rather than pure acquisition."
75,34530,Livingstone,Queensland,69.68036529680366,Tier 3 — Moderate-High,Rapid Growth Market,61.09589041095891,69.31506849315069,78.63013698630138,5464.0,12.774115116659654,231.0,4.414293904070323,43668.0,,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
76,17310,Tamworth,New South Wales,69.5662100456621,Tier 3 — Moderate-High,Young High-Intensity Market,72.87671232876713,80.27397260273973,55.54794520547945,9017.0,13.650745590795548,-7.0,-0.07757092198581561,66403.0,,Targeted junior engagement; validate demand and accessibility before scaling.
77,55110,Mandurah,Western Australia,69.3607305936073,Tier 3 — Moderate-High,Large Growth Market,78.08219178082192,40.821917808219176,89.17808219178082,11923.0,11.536972887194473,995.0,9.105051244509516,106827.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
78,45340,Onkaparinga,South Australia,69.29223744292237,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,89.86301369863014,51.78082191780822,66.23287671232876,21922.0,11.96361036678873,100.0,0.4582531390340024,184827.0,,Selective investigation; prioritise based on local context and strategic fit.
79,36250,Redland,Queensland,69.08675799086757,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,89.04109589041096,57.80821917808219,60.41095890410959,20777.0,12.22607979286807,26.0,0.1252951664980001,172831.0,,Selective investigation; prioritise based on local context and strategic fit.
80,33980,Isaac,Queensland,68.94977168949771,Tier 3 — Moderate-High,Young High-Intensity Market,44.93150684931507,87.12328767123287,74.79452054794521,3270.0,14.119780646832764,112.0,3.546548448385054,23186.0,,Targeted junior engagement; validate demand and accessibility before scaling.
81,57910,Stirling,Western Australia,68.9041095890411,Tier 3 — Moderate-High,Large Growth Market,92.87671232876711,23.28767123287671,90.54794520547945,26991.0,10.759001710055847,2189.0,8.825901137005081,254821.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
82,36910,Toowoomba,Queensland,66.84931506849315,Tier 3 — Moderate-High,Large Established / Slower-Growth Market,91.5068493150685,73.15068493150685,35.89041095890411,24006.0,13.041423332880619,-158.0,-0.6538652540970038,186276.0,,"Focus on retention, conversion and utilisation rather than pure acquisition."
83,50250,Ashburton,Western Australia,66.84931506849315,Tier 3 — Moderate-High,Emerging Young Growth Market,19.17808219178082,93.69863013698631,87.67123287671234,1233.0,14.974495992227348,187.0,17.877629063097515,8335.0,,Early intervention market; build delivery capacity before growth outpaces supply.
84,51310,Cambridge,Western Australia,66.80365296803653,Tier 3 — Moderate-High,Young High-Intensity Market,55.06849315068493,83.28767123287672,62.054794520547944,4454.0,13.858551915118703,25.0,0.5644615037254459,32684.0,,Targeted junior engagement; validate demand and accessibility before scaling.
85,24410,Maroondah,Victoria,66.73515981735159,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,81.0958904109589,56.71232876712329,62.397260273972606,14493.0,12.17162725073905,34.0,0.23514765889757244,120247.0,,Selective investigation; prioritise based on local context and strategic fit.
86,59340,Wyndham-East Kimberley,Western Australia,66.71232876712328,Tier 3 — Moderate-High,Emerging Young Growth Market,20.0,97.53424657534246,82.60273972602741,1298.0,15.489260143198091,115.0,9.721048182586644,8441.0,,Early intervention market; build delivery capacity before growth outpaces supply.
87,16150,Orange,New South Wales,66.66666666666667,Tier 3 — Moderate-High,Young High-Intensity Market,64.93150684931507,85.75342465753425,49.31506849315069,6280.0,14.040422106957609,-42.0,-0.6643467257197089,44990.0,,Targeted junior engagement; validate demand and accessibility before scaling.
88,34580,Lockyer Valley,Queensland,66.1187214611872,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,62.19178082191781,68.76712328767123,67.3972602739726,5726.0,12.729253273458863,72.0,1.2734347364697558,46058.0,,Selective investigation; prioritise based on local context and strategic fit.
89,23810,Latrobe (Vic.),Victoria,65.8904109589041,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,73.97260273972603,54.24657534246575,69.45205479452054,9437.0,12.02563906516808,109.0,1.16852487135506,79112.0,,Selective investigation; prioritise based on local context and strategic fit.
90,17550,Tweed,New South Wales,65.82191780821918,Tier 3 — Moderate-High,Large Growth Market,76.98630136986301,44.657534246575345,75.82191780821918,11724.0,11.685670999122877,254.0,2.214472537053182,101044.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
91,17000,Singleton,New South Wales,65.59360730593608,Tier 3 — Moderate-High,Young High-Intensity Market,48.49315068493151,84.38356164383562,63.90410958904109,3567.0,13.891268790404238,29.0,0.819672131147541,25841.0,,Targeted junior engagement; validate demand and accessibility before scaling.
92,50980,Broome,Western Australia,65.47945205479452,Tier 3 — Moderate-High,Young High-Intensity Market,42.19178082191781,93.15068493150685,61.09589041095891,2841.0,14.951844639755802,16.0,0.5663716814159292,19193.0,,Targeted junior engagement; validate demand and accessibility before scaling.
93,47700,Tea Tree Gully,South Australia,64.77168949771689,Tier 4 — Moderate,Mixed / Moderate Opportunity,78.35616438356165,47.94520547945205,68.01369863013699,12352.0,11.80992446696625,100.0,0.8161932745674175,105120.0,,Selective investigation; prioritise based on local context and strategic fit.
94,30370,Banana,Queensland,64.17808219178082,Tier 4 — Moderate,Young High-Intensity Market,34.794520547945204,89.86301369863014,67.87671232876713,2171.0,14.434840425531913,40.0,1.8770530267480057,15144.0,,Targeted junior engagement; validate demand and accessibility before scaling.
95,12380,Cumberland,New South Wales,63.97260273972603,Tier 4 — Moderate,Large Established / Slower-Growth Market,93.97260273972603,55.61643835616439,42.328767123287676,30643.0,12.119570161248857,-91.0,-0.29608902193011,256906.0,,"Focus on retention, conversion and utilisation rather than pure acquisition."
96,20660,Banyule,Victoria,63.949771689497716,Tier 4 — Moderate,Large Established / Slower-Growth Market,82.46575342465754,51.23287671232877,58.150684931506845,15704.0,11.945839038490796,12.0,0.07647208768799389,132770.0,,"Focus on retention, conversion and utilisation rather than pure acquisition."
97,14750,Leeton,New South Wales,63.51598173515981,Tier 4 — Moderate,Young High-Intensity Market,28.493150684931507,95.8904109589041,66.16438356164383,1748.0,15.197356981394542,30.0,1.7462165308498252,11475.0,,Targeted junior engagement; validate demand and accessibility before scaling.
98,22830,Greater Shepparton,Victoria,63.150684931506845,Tier 4 — Moderate,Mixed / Moderate Opportunity,73.15068493150685,72.87671232876713,43.42465753424658,9025.0,12.996083174932318,-71.0,-0.7805628847845206,69865.0,,Selective investigation; prioritise based on local context and strategic fit.
99,45890,Port Adelaide Enfield,South Australia,62.96803652968036,Tier 4 — Moderate,Large Growth Market,81.64383561643835,21.36986301369863,85.89041095890411,15076.0,10.664063605240075,883.0,6.2213767350102165,143022.0,,Scale acquisition around large and growing junior markets; test club/program capacity.
100,52660,Dardanup,Western Australia,62.96803652968036,Tier 4 — Moderate,Young High-Intensity Market,35.06849315068493,79.45205479452055,74.38356164383562,2176.0,13.59575132771009,87.0,4.164672091910005,16280.0,,Targeted junior engagement; validate demand and accessibility before scaling.
101,72330,MacDonnell,Northern Territory,62.694063926940636,Tier 4 — Moderate,Emerging Young Growth Market,13.150684931506849,96.7123287671233,78.21917808219177,1045.0,15.275544511036399,80.0,8.290155440414509,6978.0,,Early intervention market; build delivery capacity before growth outpaces supply.
